Transaction ID,Date,User ID,Book Title,Genre,Borrowing Duration (Days)
1001,2025-01-15,U101,The Midnight Library,Fantasy,14
1002,2025-01-18,U105,Dune,Science Fiction,21
1003,2025-02-01,U112,Atomic Habits,Self-Help,30
1004,2025-02-05,U103,To Kill a Mockingbird,Classic,21
1005,2025-02-10,U108,The Silent Patient,Thriller,14
1006,2025-02-22,U101,1984,Dystopian,30
1007,2025-03-04,U115,Educated: A Memoir,Biography,14
1008,2025-03-05,U109,Project Hail Mary,Science Fiction,21
1009,2025-03-11,U102,Where the Crawdads Sing,Mystery,14
1010,2025-04-01,U120,Sapiens: A Brief History of Humankind,Non-Fiction,30
1011,2025-04-07,U105,The Hobbit,Fantasy,21
1012,2025-04-15,U111,Gone Girl,Thriller,14
1013,2025-05-02,U104,The Great Gatsby,Classic,14
1014,2025-05-09,U118,Pride and Prejudice,Romance,21
1015,2025-05-21,U106,Becoming,Biography,30
1016,2025-06-03,U110,The Da Vinci Code,Mystery,14
1017,2025-06-14,U107,The Alchemist,Fantasy,21
1018,2025-06-25,U103,Brave New World,Dystopian,30
1019,2025-07-01,U113,"Thinking, Fast and Slow",Non-Fiction,30
1020,2025-07-08,U119,The Lord of the Rings,Fantasy,21
1021,2025-07-16,U101,The Silent Patient,Thriller,14
1022,2025-07-22,U105,Dune,Science Fiction,14
1023,2025-08-05,U117,The Catcher in the Rye,Classic,21
1024,2025-08-11,U114,Atomic Habits,Self-Help,30
1025,2025-08-20,U102,Project Hail Mary,Science Fiction,14
1026,2025-08-28,U116,The Midnight Library,Fantasy,21
1027,2025-09-03,U109,Sapiens: A Brief History of Humankind,Non-Fiction,30
1028,2025-09-12,U104,1984,Dystopian,14
1029,2025-09-25,U111,Where the Crawdads Sing,Mystery,21
1030,2025-10-02,U108,The Hobbit,Fantasy,14
1031,2025-10-05,U121,The Guest List,Mystery,14
1032,2025-10-08,U122,Circe,Fantasy,21
1033,2025-10-12,U123,Verity,Thriller,14
1034,2025-10-15,U124,The Song of Achilles,Historical Fiction,21
1035,2025-10-18,U125,It Ends with Us,Romance,14
1036,2025-10-21,U126,The Seven Husbands of Evelyn Hugo,Historical Fiction,21
1037,2025-10-24,U127,A Man Called Ove,Fiction,30
1038,2025-10-27,U128,The Vanishing Half,Historical Fiction,21
1039,2025-10-30,U129,The Four Winds,Historical Fiction,30
1040,2025-11-02,U130,Klara and the Sun,Science Fiction,21
1041,2025-11-05,U131,Anxious People,Fiction,14
1042,2025-11-08,U132,The Rose Code,Historical Fiction,21
1043,2025-11-11,U133,The Lincoln Highway,Historical Fiction,30
1044,2025-11-14,U134,Malibu Rising,Historical Fiction,14
1045,2025-11-17,U135,The Invisible Life of Addie LaRue,Fantasy,21
